Dataset,Trust Threshold,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
treeData,0.05,0.9390432098765432,0.9488220958570268,0.009778885980483598,0.04513888888888889,0.21663993556763664
treeData,0.1,0.9390432098765432,0.9579759862778731,0.018932776401329843,0.09027777777777778,0.20971690783011518
treeData,0.15,0.9390432098765432,0.9673024523160763,0.02825924243953304,0.13541666666666666,0.2086836364765517
treeData,0.2,0.9390432098765432,0.9749276759884281,0.035884466111884894,0.1798611111111111,0.19951208957959168
treeData,0.25,0.9390432098765432,0.98559670781893,0.046553497942386834,0.225,0.20690443529949704
treeData,0.3,0.9390432098765432,0.9900771775082691,0.05103396763172585,0.2701388888888889,0.188917515140579
treeData,0.35,0.9390432098765432,0.9928741092636579,0.05383089938711472,0.31527777777777777,0.17074117867278676
treeData,0.4,0.9390432098765432,0.9961439588688946,0.0571007489923514,0.3597222222222222,0.1587356728744904
treeData,0.45,0.9390432098765432,0.9971949509116409,0.05815174103509768,0.4048611111111111,0.1436338028997267
treeData,0.5,0.9390432098765432,0.9969135802469136,0.05787037037037035,0.45,0.12860082304526743
treeData,0.55,0.9390432098765432,0.9982847341337907,0.05924152425724749,0.4951388888888889,0.11964627619977053
treeData,0.6,0.9390432098765432,0.9980732177263969,0.05903000784985368,0.5395833333333333,0.10939924234721919
treeData,0.65,0.9390432098765432,0.9977973568281938,0.0587541469516506,0.5847222222222223,0.10048215155626705
treeData,0.7,0.9390432098765432,0.9974293059125964,0.05838609603605316,0.6298611111111111,0.09269677871214614
treeData,0.75,0.9390432098765432,1.0,0.06095679012345678,0.675,0.09030635573845448
treeData,0.8,0.9390432098765432,1.0,0.06095679012345678,0.7194444444444444,0.08472758472758472
treeData,0.85,0.9390432098765432,1.0,0.06095679012345678,0.7645833333333333,0.07972550206882631
treeData,0.9,0.9390432098765432,1.0,0.06095679012345678,0.8097222222222222,0.07528111301696207
treeData,0.95,0.9390432098765432,1.0,0.06095679012345678,0.8548611111111111,0.0713060745554653
