Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
parkinsons,0.05,0.7382552702813057,0.92,0.9397590361445783,0.0197590361445783,0.046153846153846156,0.4281124497991965
parkinsons,0.1,0.7802157809661584,0.92,0.9681528662420382,0.048152866242038184,0.09230769230769231,0.5216560509554137
parkinsons,0.15,0.8146389536639526,0.92,0.9662162162162162,0.04621621621621619,0.13846153846153847,0.33378378378378354
parkinsons,0.2,0.8440933458988834,0.92,0.9785714285714285,0.0585714285714285,0.1794871794871795,0.3263265306122445
parkinsons,0.25,0.8873974992161333,0.92,0.9770992366412213,0.057099236641221296,0.22564102564102564,0.25305343511450346
parkinsons,0.3,0.9098057438629061,0.92,0.9754098360655737,0.0554098360655737,0.2717948717948718,0.20386637797711082
parkinsons,0.35,0.9244974349930465,0.92,0.9736842105263158,0.05368421052631578,0.3128205128205128,0.17161345987920618
parkinsons,0.4,0.9357796457717134,0.92,0.9809523809523809,0.06095238095238087,0.358974358974359,0.1697959183673467
parkinsons,0.45,0.9554447584753197,0.92,0.9895833333333334,0.06958333333333333,0.40512820512820513,0.17175632911392405
parkinsons,0.5,0.9596101638671297,0.92,1.0,0.07999999999999996,0.4461538461538462,0.17931034482758612
parkinsons,0.55,0.9654573720019242,0.92,1.0,0.07999999999999996,0.49230769230769234,0.16249999999999992
parkinsons,0.6,0.9763335222873591,0.92,1.0,0.07999999999999996,0.5384615384615384,0.1485714285714285
parkinsons,0.65,0.9879600348403825,0.92,1.0,0.07999999999999996,0.5846153846153846,0.13684210526315782
parkinsons,0.7,0.9926507721844449,0.92,1.0,0.07999999999999996,0.6256410256410256,0.12786885245901633
parkinsons,0.75,0.9949142958237194,0.92,1.0,0.07999999999999996,0.6717948717948717,0.11908396946564881
parkinsons,0.8,0.9957861857956982,0.92,1.0,0.07999999999999996,0.717948717948718,0.11142857142857138
parkinsons,0.85,0.9966302132660918,0.92,1.0,0.07999999999999996,0.7589743589743589,0.10540540540540536
parkinsons,0.9,0.9972512375627958,0.92,1.0,0.07999999999999996,0.8051282051282052,0.09936305732484071
parkinsons,0.95,0.9982926191940072,0.92,1.0,0.07999999999999996,0.8512820512820513,0.09397590361445779
