Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
flare1,0.05,0.5548177083333333,0.8758620689655172,0.9018181818181819,0.025956112852664637,0.04643962848297214,0.5589216300940452
flare1,0.1,0.7328544135993925,0.8758620689655172,0.9118773946360154,0.036015325670498144,0.08978328173374613,0.4011362135024449
flare1,0.15,0.7652353042666342,0.8758620689655172,0.9186991869918699,0.042837118026352705,0.13622291021671826,0.31446338914799826
flare1,0.2,0.7987386647525306,0.8758620689655172,0.9224137931034483,0.04655172413793107,0.17956656346749225,0.2592449464922713
flare1,0.25,0.8523965396305823,0.8758620689655172,0.9308755760368663,0.05501350707134911,0.2260061919504644,0.24341592854857208
flare1,0.3,0.8772746722682538,0.8758620689655172,0.9310344827586207,0.05517241379310345,0.2693498452012384,0.20483551327784383
flare1,0.35,0.8935856998356998,0.8758620689655172,0.9414893617021277,0.0656272927366105,0.3157894736842105,0.2078197603325999
flare1,0.4,0.9186370926017304,0.8758620689655172,0.9540229885057471,0.07816091954022986,0.3591331269349845,0.21763773285770902
flare1,0.45,0.9404020962945836,0.8758620689655172,0.9559748427672956,0.08011277380177839,0.4055727554179567,0.19752996899217115
flare1,0.5,0.9499325247429931,0.8758620689655172,0.9586206896551724,0.08275862068965523,0.44891640866873067,0.18435196195005957
flare1,0.55,0.9579757709062634,0.8758620689655172,0.9541984732824428,0.07833640431692557,0.49226006191950467,0.15913621757463495
flare1,0.6,0.9665035350749637,0.8758620689655172,0.9482758620689655,0.07241379310344831,0.5386996904024768,0.1344233055885851
flare1,0.65,0.978934744478061,0.8758620689655172,0.9411764705882353,0.06531440162271807,0.5820433436532507,0.11221570066030817
flare1,0.7,0.9886676536291061,0.8758620689655172,0.9540229885057471,0.07816091954022986,0.628482972136223,0.12436441877583371
flare1,0.75,0.9928021547554795,0.8758620689655172,0.9452054794520548,0.06934341048653758,0.6718266253869969,0.10321622851221954
flare1,0.8,0.9958000105002898,0.8758620689655172,0.9827586206896551,0.10689655172413792,0.718266253869969,0.1488258026159334
flare1,0.85,0.9971572747990447,0.8758620689655172,0.9772727272727273,0.10141065830721008,0.7616099071207431,0.13315301883426364
flare1,0.9,0.9984973897418462,0.8758620689655172,0.9655172413793104,0.08965517241379317,0.8080495356037152,0.11095256969216549
flare1,0.95,0.9993853695324284,0.8758620689655172,0.9333333333333333,0.05747126436781613,0.8513931888544891,0.0675026123301986
