Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
wine,0.05,0.9568991448815072,0.9875,0.9868421052631579,-0.0006578947368421906,0.0449438202247191,-0.01463815789473874
wine,0.1,0.9664421397311068,0.9875,0.9861111111111112,-0.001388888888888884,0.0898876404494382,-0.015451388888888834
wine,0.15,0.9731398259949103,0.9875,0.9852941176470589,-0.0022058823529411686,0.1348314606741573,-0.016360294117647
wine,0.2,0.9774899537246452,0.9875,0.984375,-0.0031250000000000444,0.1797752808988764,-0.017382812500000247
wine,0.25,0.9845448928603674,0.9875,0.9833333333333333,-0.004166666666666763,0.2247191011235955,-0.018541666666667095
wine,0.3,0.985940336484063,0.9875,0.9821428571428571,-0.005357142857142949,0.2696629213483146,-0.01986607142857177
wine,0.35,0.9868018313272595,0.9875,0.9807692307692307,-0.006730769230769318,0.3146067415730337,-0.021394230769231047
wine,0.4,0.9892335728859656,0.9875,0.9791666666666666,-0.008333333333333415,0.3595505617977528,-0.02317708333333356
wine,0.45,0.9909370645409137,0.9875,0.9772727272727273,-0.010227272727272751,0.4044943820224719,-0.02528409090909097
wine,0.5,0.9962491990913327,0.9875,0.975,-0.012500000000000067,0.449438202247191,-0.02781250000000015
wine,0.55,0.9988226520835217,0.9875,0.9722222222222222,-0.015277777777777835,0.4943820224719101,-0.030902777777777894
wine,0.6,0.9994975592644021,0.9875,0.96875,-0.018750000000000044,0.5393258426966292,-0.034765625000000085
wine,0.65,0.9999999999999999,0.9875,0.9661016949152542,-0.021398305084745828,0.5674157303370787,-0.037711864406779774
wine,0.7,1.0,0.9875,0.9591836734693877,-0.028316326530612335,0.6235955056179775,-0.04540816326530627
wine,0.75,1.0,0.9875,0.9591836734693877,-0.028316326530612335,0.6235955056179775,-0.04540816326530627
wine,0.8,1.0,0.9875,0.9591836734693877,-0.028316326530612335,0.6235955056179775,-0.04540816326530627
wine,0.85,1.0,0.9875,0.9591836734693877,-0.028316326530612335,0.6235955056179775,-0.04540816326530627
wine,0.9,1.0,0.9875,0.9591836734693877,-0.028316326530612335,0.6235955056179775,-0.04540816326530627
wine,0.95,1.0,0.9875,0.9591836734693877,-0.028316326530612335,0.6235955056179775,-0.04540816326530627
