Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
ionosphere,0.05,0.7591520855778209,0.9206349206349206,0.9297658862876255,0.009130965652704881,0.045584045584045586,0.2003105590062133
ionosphere,0.1,0.8040455475281786,0.9206349206349206,0.9363957597173145,0.015760839082393896,0.09116809116809117,0.17287670368500804
ionosphere,0.15,0.8328887396598366,0.9206349206349206,0.9363295880149812,0.015694667380060645,0.13675213675213677,0.11476725521669345
ionosphere,0.2,0.8600790343746716,0.9206349206349206,0.9404761904761905,0.019841269841269882,0.1794871794871795,0.11054421768707505
ionosphere,0.25,0.8708060999136267,0.9206349206349206,0.9491525423728814,0.028517621737960797,0.22507122507122507,0.12670487632942076
ionosphere,0.3,0.8868832171720634,0.9206349206349206,0.9590909090909091,0.03845598845598852,0.2706552706552707,0.14208475734791548
ionosphere,0.35,0.898035233132379,0.9206349206349206,0.9609756097560975,0.04034068912117694,0.31339031339031337,0.12872347165030099
ionosphere,0.4,0.9093199854448046,0.9206349206349206,0.9629629629629629,0.042328042328042326,0.358974358974359,0.11791383219954647
ionosphere,0.45,0.9230504587239762,0.9206349206349206,0.9653179190751445,0.04468299844022394,0.4045584045584046,0.11044882008815918
ionosphere,0.5,0.9360452231032563,0.9206349206349206,0.9746835443037974,0.05404862366887686,0.4472934472934473,0.12083482106863554
ionosphere,0.55,0.9419121803486948,0.9206349206349206,0.9788732394366197,0.05823831880169916,0.4928774928774929,0.1181598260080717
ionosphere,0.6,0.9499312753085911,0.9206349206349206,0.9761904761904762,0.05555555555555558,0.5384615384615384,0.10317460317460322
ionosphere,0.65,0.9580808071373194,0.9206349206349206,0.9818181818181818,0.06118326118326123,0.584045584045584,0.10475768134304728
ionosphere,0.7,0.9635457276395442,0.9206349206349206,0.9894736842105263,0.0688387635756057,0.6267806267806267,0.10982911825017092
ionosphere,0.75,0.9674979237041774,0.9206349206349206,1.0,0.07936507936507942,0.6723646723646723,0.11803874092009693
ionosphere,0.8,0.9717445061032391,0.9206349206349206,1.0,0.07936507936507942,0.717948717948718,0.1105442176870749
ionosphere,0.85,0.9781003617056028,0.9206349206349206,1.0,0.07936507936507942,0.7606837606837606,0.10433386837881227
ionosphere,0.9,0.9803870002967536,0.9206349206349206,1.0,0.07936507936507942,0.8062678062678063,0.09843513377082289
ionosphere,0.95,0.9831496513464114,0.9206349206349206,1.0,0.07936507936507942,0.8518518518518519,0.0931677018633541
