Dataset,Quantiles,Trust,Baseline Accuracy,Classifiable Accuracy,Accuracy Diff,Pct. Dropped,Accuracy Drop Ratio
hepatitis,0.05,0.39055570586820587,0.6451612903225806,0.6581196581196581,0.012958367797077486,0.050724637681159424,0.2554649651423847
hepatitis,0.1,0.440186920922215,0.6451612903225806,0.6666666666666666,0.021505376344086002,0.09420289855072464,0.2282878411910668
hepatitis,0.15,0.48988168428024303,0.6451612903225806,0.6857142857142857,0.04055299539170509,0.13768115942028986,0.2945428086344896
hepatitis,0.2,0.5108947048206396,0.6451612903225806,0.7070707070707071,0.061909416748126445,0.18115942028985507,0.341739980449658
hepatitis,0.25,0.5383272689619084,0.6451612903225806,0.7204301075268817,0.07526881720430112,0.2246376811594203,0.33506763787721144
hepatitis,0.3,0.5566119624678671,0.6451612903225806,0.7241379310344828,0.07897664071190214,0.26811594202898553,0.2945615248173647
hepatitis,0.35,0.5708387962064433,0.6451612903225806,0.725,0.07983870967741935,0.3188405797101449,0.25040322580645163
hepatitis,0.4,0.5877632414665742,0.6451612903225806,0.7432432432432432,0.09808195292066257,0.36231884057971014,0.2707061900610287
hepatitis,0.45,0.6135442918529525,0.6451612903225806,0.7647058823529411,0.1195445920303605,0.4057971014492754,0.2945920303605312
hepatitis,0.5,0.6375578703703704,0.6451612903225806,0.8064516129032258,0.16129032258064513,0.4492753623188406,0.35900104058272625
hepatitis,0.55,0.6680949282199282,0.6451612903225806,0.8035714285714286,0.15841013824884798,0.4927536231884058,0.3214793982108973
hepatitis,0.6,0.6979169216453603,0.6451612903225806,0.8,0.15483870967741942,0.5362318840579711,0.28875326939843077
hepatitis,0.65,0.7113239306989306,0.6451612903225806,0.8409090909090909,0.1957478005865103,0.5797101449275363,0.3376649560117303
hepatitis,0.7,0.7262160838762669,0.6451612903225806,0.8648648648648649,0.21970357454228429,0.6304347826086957,0.34849532513603715
hepatitis,0.75,0.742936633779657,0.6451612903225806,0.9032258064516129,0.25806451612903225,0.6739130434782609,0.3829344432882414
hepatitis,0.8,0.7713005226480836,0.6451612903225806,0.88,0.23483870967741938,0.717391304347826,0.32735092864125126
hepatitis,0.85,0.8089794135602959,0.6451612903225806,0.8421052631578947,0.19694397283531406,0.7608695652173914,0.258840650012127
hepatitis,0.9,0.8691531650874125,0.6451612903225806,0.9230769230769231,0.2779156327543425,0.8043478260869565,0.3455167326135069
hepatitis,0.95,0.8963820226784623,0.6451612903225806,1.0,0.3548387096774194,0.8478260869565217,0.4185277088502895
